height,weight,age,male,age_mother
151.765,47.8256065,63,Yes,58
139.7,36.4858065,63,No,40
136.525,31.864838,65,No,20
156.845,53.0419145,41,Yes,63
145.415,41.276872,51,No,52
163.83,62.992589,35,Yes,29
149.225,38.2434755,32,No,37
168.91,55.4799715,27,Yes,21
147.955,34.869885,19,No,27
165.1,54.487739,54,Yes,62
154.305,49.89512,47,No,44
151.13,41.220173,66,Yes,21
144.78,36.0322145,73,No,61
149.9,47.7,20,No,41
150.495,33.849303,65.3,No,39
163.195,48.5626935,36,Yes,59
157.48,42.3258035,44,Yes,31
143.9418,38.3568735,31,No,54
121.92,19.617854,12,Yes,50
105.41,13.947954,8,No,59
86.36,10.489315,6.5,No,53
161.29,48.987936,39,Yes,38
156.21,42.7226965,29,No,25
129.54,23.586784,13,Yes,20
109.22,15.989118,7,No,63
146.4,35.493574,56,Yes,46
148.59,37.9032815,45,No,34
147.32,35.4652245,19,No,62
137.16,27.328918,17,Yes,56
125.73,22.6796,16,No,40
114.3,17.860185,11,Yes,56
147.955,40.312989,29,Yes,44
161.925,55.111428,30,Yes,61
146.05,37.5063885,24,No,60
146.05,38.498621,35,No,45
152.7048,46.606578,33,No,46
142.875,38.838815,27,No,55
142.875,35.5786225,32,No,60
147.955,47.400364,36,No,27
160.655,47.8823055,24,Yes,31
151.765,49.4131785,30,Yes,50
162.8648,49.384829,24,Yes,32
171.45,56.5572525,52,Yes,54
147.32,39.12231,42,No,23
147.955,49.89512,19,No,55
144.78,28.803092,17,No,37
121.92,20.41164,8,Yes,64
128.905,23.359988,12,No,51
97.79,13.267566,5,No,39
154.305,41.2485225,55,Yes,35
143.51,38.55532,43,No,25
146.7,42.4,20,Yes,40
157.48,44.6504625,18,Yes,39
127,22.010551799999998,13,Yes,49
110.49,15.422128,9,No,54
97.79,12.757275,5,No,55
165.735,58.5984165,42,Yes,30
152.4,46.719976,44,No,43
141.605,44.22522,60,No,47
158.8,50.9,20,No,48
155.575,54.317642,37,No,21
164.465,45.8978405,50,Yes,30
151.765,48.024053,50,No,39
161.29,52.219779,31,Yes,18
154.305,47.62716,25,No,39
145.415,45.642695,23,No,50
145.415,42.410852,52,No,29
152.4,36.4858065,79.3,Yes,61
163.83,55.9335635,35,Yes,34
144.145,37.194544,27,No,31
129.54,24.550667,13,Yes,30
129.54,25.627948,14,No,27
153.67,48.307548,38,Yes,46
142.875,37.3362915,39,No,39
146.05,29.596878,12,No,33
167.005,47.173568,30,Yes,49
158.4198,47.286966,24,No,35
91.44,12.927372,0.599999999999909,Yes,27
165.735,57.549485,51,Yes,65
149.86,37.931631,46,No,19
147.955,41.900561,17,No,42
137.795,27.5840635,12,No,49
154.94,47.2019175,22,No,38
160.9598,43.204638,29,Yes,46
161.925,50.2636635,38,Yes,61
147.955,39.3774555,30,No,63
113.665,17.463292,6,Yes,54
159.385,50.689,45,Yes,27
148.59,39.4341545,47,No,31
136.525,36.28736,79,No,64
158.115,46.266384,45,Yes,47
144.78,42.2691045,54,No,38
156.845,47.62716,31,Yes,33
179.07,55.7067675,23,Yes,30
118.745,18.824068,9,No,43
170.18,48.5626935,41,Yes,57
146.05,42.807745,23,No,27
147.32,35.0683315,36,No,54
113.03,17.8885345,5,Yes,45
162.56,56.755699,30,No,36
133.985,27.442316,12,Yes,34
152.4,51.255896,34,No,43
160.02,47.230267,44,Yes,34
149.86,40.936678,43,No,62
142.875,32.715323,73.3,No,56
167.005,57.0675435,38,Yes,46
159.385,42.977842,43,Yes,33
154.94,39.9444455,33,No,31
148.59,32.4601775,16,No,48
111.125,17.123098,11,Yes,59
111.76,16.499409,6,Yes,37
162.56,45.9545395,35,Yes,26
152.4,41.106775,29,No,62
124.46,18.257078,12,No,54
111.76,15.081934,9,Yes,29
86.36,11.4815475,7.59999999999991,Yes,18
170.18,47.5988105,58,Yes,64
146.05,37.5063885,53,No,21
159.385,45.019006,51,Yes,34
151.13,42.2691045,48,No,46
160.655,54.8562825,29,Yes,37
169.545,53.523856,41,Yes,37
158.75,52.1914295,81.75,Yes,38
74.295,9.752228,1,Yes,18
149.86,42.410852,35,No,40
153.035,49.5832755,46,No,56
96.52,13.097469,5,Yes,38
161.925,41.730464,29,Yes,19
162.56,56.018612,42,Yes,31
149.225,42.1557065,27,No,51
116.84,19.391058,8,No,35
100.076,15.081934,6,Yes,22
163.195,53.0986135,22,Yes,24
161.925,50.235314,43,Yes,34
145.415,42.52425,53,No,52
163.195,49.101334,43,Yes,45
151.13,38.498621,41,No,51
150.495,49.8100715,50,No,55
141.605,29.313383,15,Yes,19
170.815,59.760746,33,Yes,23
91.44,11.7083435,3,No,62
157.48,47.9390045,62,Yes,59
152.4,39.292407,49,No,49
149.225,38.1300775,17,Yes,29
129.54,21.999212,12,No,49
147.32,36.8826995,22,No,39
145.415,42.127357,29,No,62
121.92,19.787951,8,No,35
113.665,16.782904,5,Yes,63
157.48,44.565414,33,Yes,49
154.305,47.853956,34,No,24
120.65,21.1770765,12,No,52
115.6,18.9,7,Yes,22
167.005,55.1964765,42,Yes,18
142.875,32.998818,40,No,64
152.4,40.879979,27,No,38
96.52,13.267566,3,No,33
160,51.2,25,Yes,19
159.385,49.044635,29,Yes,59
149.86,53.4388075,45,No,47
160.655,54.090846,26,Yes,63
160.655,55.3665735,45,Yes,53
149.225,42.240755,45,No,44
125.095,22.3677555,11,No,58
140.97,40.936678,85.5999999999999,No,44
154.94,49.6966735,26,Yes,23
141.605,44.338618,24,No,53
160.02,45.9545395,57,Yes,44
150.1648,41.95726,22,No,33
155.575,51.482692,24,No,47
103.505,12.757275,6,No,62
94.615,13.0124205,4,No,40
156.21,44.111822,21,No,44
153.035,32.205032,79,No,61
167.005,56.755699,50,Yes,35
149.86,52.673371,40,No,35
147.955,36.4858065,64,No,50
159.385,48.8461885,32,Yes,21
161.925,56.9541455,38.7,Yes,36
155.575,42.0990075,26,No,40
159.385,50.178615,63,Yes,26
146.685,46.549879,62,No,29
172.72,61.80191,22,Yes,50
166.37,48.987936,41,Yes,37
141.605,31.524644,19,Yes,58
142.875,32.205032,17,No,33
133.35,23.756881,14,No,37
127.635,24.4089195,9,Yes,65
119.38,21.5172705,7,Yes,22
151.765,35.2951275,74,No,31
156.845,45.642695,41,Yes,56
148.59,43.885026,33,No,56
157.48,45.5576465,53,No,26
149.86,39.008912,18,No,31
147.955,41.163474,37,No,25
102.235,13.1258185,6,No,26
153.035,45.245802,61,No,31
160.655,53.637254,44,Yes,21
149.225,52.3048275,35,No,40
114.3,18.3421265,7,Yes,18
100.965,13.7495075,4,Yes,24
138.43,39.0939605,23,No,61
91.44,12.530479,4,Yes,42
162.56,45.699394,55,Yes,64
149.225,40.3980375,53,No,51
158.75,51.482692,59,Yes,32
149.86,38.668718,57,No,35
158.115,39.235708,35,Yes,34
156.21,44.338618,29,No,31
148.59,39.519203,62,Yes,62
143.51,31.071052,18,No,41
154.305,46.776675,51,No,46
131.445,22.509503,14,No,19
157.48,40.6248335,19,Yes,47
157.48,50.178615,42,Yes,39
154.305,41.276872,25,No,47
107.95,17.57669,6,Yes,44
168.275,54.6,41,Yes,37
145.415,44.9906565,37,No,30
147.955,44.735511,16,No,21
100.965,14.401546,5,Yes,57
113.03,19.050864,9,Yes,18
149.225,35.8054185,82,Yes,27
154.94,45.2174525,28,Yes,39
162.56,48.1091015,50,Yes,61
156.845,45.6710445,43,No,35
123.19,20.808533,8,Yes,34
161.0106,48.420946,31,Yes,27
144.78,41.1918235,67,No,62
143.51,38.4135725,39,No,60
149.225,42.127357,18,No,39
110.49,17.6617385,11,No,44
149.86,38.2434755,48,No,32
165.735,48.3358975,30,Yes,33
144.145,38.9238635,64,No,43
157.48,40.029494,72,Yes,22
154.305,50.2069645,68,No,62
163.83,54.2892925,44,Yes,46
156.21,45.6,43,No,64
153.67,40.766581,16,No,53
134.62,27.1304715,13,No,26
144.145,39.4341545,34,No,33
114.3,20.4966885,10,No,42
162.56,43.204638,62,Yes,59
146.05,31.864838,44,No,34
120.65,20.8935815,11,Yes,34
154.94,45.4442485,31,Yes,37
144.78,38.045029,29,No,60
106.68,15.989118,8,No,37
146.685,36.0889135,62,No,21
152.4,40.879979,67,No,32
163.83,47.910655,57,Yes,62
165.735,47.7122085,32,Yes,48
156.21,46.379782,24,No,46
152.4,41.163474,77,Yes,62
140.335,36.5992045,62,No,24
158.115,43.09124,17,Yes,65
163.195,48.137451,67,Yes,55
151.13,36.7126025,70,No,33
171.1198,56.5572525,37,Yes,52
149.86,38.6970675,58,No,33
163.83,47.4854125,35,Yes,26
141.605,36.2023115,30,No,58
93.98,14.288148,5,No,34
149.225,41.276872,26,No,38
105.41,15.2236815,5,No,57
146.05,44.7638605,21,No,43
161.29,50.4337605,41,Yes,58
162.56,55.281525,46,Yes,23
145.415,37.931631,49,No,20
145.415,35.493574,15,Yes,63
170.815,58.456669,28,Yes,62
127,21.488921,12,No,59
159.385,44.4236665,83,No,57
159.4,44.4,54,Yes,52
153.67,44.565414,54,No,31
160.02,44.622113,68,Yes,41
150.495,40.483086,68,No,56
149.225,44.0834725,56,No,19
127,24.4089195,15,No,49
142.875,34.416293,57,No,31
142.113,32.772022,22,No,61
147.32,35.947166,40,No,25
162.56,49.5549,19,Yes,51
164.465,53.183662,41,Yes,24
160.02,37.081146,75.9000000000001,Yes,47
153.67,40.5114355,73.9000000000001,No,64
167.005,50.6038575,49,Yes,57
151.13,43.9700745,26,Yes,53
147.955,33.792604,17,No,28
125.3998,21.375523,13,No,46
111.125,16.669506,8,No,46
153.035,49.89,88,Yes,31
139.065,33.5941575,68,No,34
152.4,43.8566765,33,Yes,64
154.94,48.137451,26,No,53
147.955,42.751046,56,No,19
143.51,34.8415355,16,Yes,33
117.983,24.097075,13,No,30
144.145,33.906002,34,No,27
92.71,12.076887,5,No,56
147.955,41.276872,17,No,57
155.575,39.7176495,74,Yes,59
150.495,35.947166,69,No,28
155.575,50.915702,50,Yes,31
154.305,45.756093,44,No,54
130.6068,25.2594045,15,No,22
101.6,15.3370795,5,No,27
157.48,49.214732,18,No,43
168.91,58.8252125,41,Yes,38
150.495,43.4597835,27,No,57
111.76,17.8318355,8.90000000000009,Yes,21
160.02,51.9646335,38,Yes,39
167.64,50.688906,57,Yes,19
144.145,34.246196,64.5,No,24
145.415,39.3774555,42,No,29
160.02,59.5622995,24,Yes,61
147.32,40.312989,16,Yes,49
164.465,52.16308,71,Yes,26
153.035,39.972795,49.5,No,51
149.225,43.941725,33,Yes,55
160.02,54.601137,28,No,21
149.225,45.075705,47,No,35
85.09,11.453198,3,Yes,28
84.455,11.7650425,1,Yes,54
59.6138,5.896696,1,No,62
92.71,12.1052365,3,Yes,25
111.125,18.313777,6,No,45
90.805,11.3681495,5,No,20
153.67,41.333571,27,No,55
99.695,16.2442635,5,No,42
62.484,6.80388,1,No,48
81.915,11.8784405,2,Yes,22
96.52,14.968536,2,No,65
80.01,9.865626,1,Yes,55
150.495,41.900561,55,No,64
151.765,42.524,83.4000000000001,Yes,31
140.6398,28.859791,12,Yes,43
88.265,12.7856245,2,No,30
158.115,43.147939,63,Yes,43
149.225,40.82328,52,No,44
151.765,42.864444,49,Yes,43
154.94,46.209685,31,No,53
123.825,20.581737,9,No,47
104.14,15.87572,6,No,39
161.29,47.853956,35,Yes,42
148.59,42.52425,35,No,45
97.155,17.066399,7,No,47
93.345,13.1825175,5,Yes,54
160.655,48.5059945,24,Yes,44
157.48,45.869491,41,Yes,26
167.005,52.900167,32,Yes,62
157.48,47.570461,43,Yes,49
91.44,12.927372,6,No,59
60.452,5.6699,1,Yes,46
137.16,28.91649,15,Yes,18
152.4,43.544832,63,No,39
152.4,43.431434,21,No,65
81.28,11.509897,1,Yes,32
109.22,11.7083435,2,No,20
71.12,7.540967,1,Yes,35
89.2048,12.700576,3,No,39
67.31,7.200773,1,No,60
85.09,12.360382,1,Yes,31
69.85,7.7961125,1,No,41
161.925,53.2120115,55,No,49
152.4,44.678812,38,No,57
88.9,12.5588285,3,Yes,57
90.17,12.700576,3,Yes,27
71.755,7.37087,1,No,55
83.82,9.2135875,1,No,26
159.385,47.2019175,28,Yes,36
142.24,28.632995,16,No,21
142.24,31.6663915,36,No,29
168.91,56.4438545,38,Yes,35
123.19,20.014747,12,Yes,41
74.93,8.50485,1,Yes,38
74.295,8.3064035,1,No,20
90.805,11.623295,3,No,28
160.02,55.791816,48,Yes,64
67.945,7.9662095,1,No,45
135.89,27.21552,15,No,57
158.115,47.4854125,45,Yes,31
85.09,10.8011595,3,Yes,50
93.345,14.004653,3,No,48
152.4,45.1607535,38,No,20
155.575,45.529297,21,No,45
154.305,48.874538,50,No,28
156.845,46.5782285,41,Yes,22
120.015,20.128145,13,No,56
114.3,18.14368,8,Yes,48
83.82,10.9145575,3,Yes,25
156.21,43.885026,30,No,48
137.16,27.158821,12,Yes,20
114.3,19.050864,7,Yes,42
93.98,13.834556,4,No,35
168.275,56.0469615,21,Yes,38
147.955,40.086193,38,No,34
139.7,26.5634815,15,Yes,62
157.48,50.802304,19,No,41
76.2,9.2135875,1,Yes,61
66.04,7.5693165,1,Yes,49
160.7,46.3,31,Yes,50
114.3,19.4194075,8,No,39
146.05,37.9032815,16,Yes,64
161.29,49.3564795,21,Yes,60
69.85,7.314171,0,No,19
133.985,28.1510535,13,Yes,28
67.945,7.824462,0,Yes,42
150.495,44.111822,50,No,46
163.195,51.0291,39,Yes,34
148.59,40.766581,44,Yes,27
148.59,37.5630875,36,No,20
161.925,51.59609,36,Yes,24
153.67,44.8205595,18,No,52
68.58,8.0229085,0,No,58
151.13,43.4030845,58,No,39
163.83,46.719976,58,Yes,40
153.035,39.5475525,33,No,52
151.765,34.7848365,21.5,No,28
132.08,22.792998,11,Yes,49
156.21,39.292407,26,Yes,38
140.335,37.4496895,22,No,44
158.75,48.6760915,28,Yes,57
142.875,35.606972,42,No,26
84.455,9.3836845,2,Yes,55
151.9428,43.714929,21,Yes,41
161.29,48.19415,19,Yes,37
127.9906,29.8520235,13,Yes,41
160.9852,50.972401,48,Yes,44
144.78,43.998424,46,No,39
132.08,28.292801,11,Yes,57
117.983,20.354941,8,Yes,34
160.02,48.19415,25,Yes,48
154.94,39.179009,16,Yes,23
160.9852,46.6916265,51,Yes,60
165.989,56.415505,25,Yes,62
157.988,48.591043,28,Yes,36
154.94,48.2224995,26,No,53
97.9932,13.2959155,5,Yes,65
64.135,6.6621325,1,No,45
160.655,47.4854125,54,Yes,27
147.32,35.550273,66,No,49
146.7,36.6,20,No,52
147.32,48.9595865,25,No,50
172.9994,51.255896,38,Yes,58
158.115,46.5215295,51,Yes,64
147.32,36.967748,48,No,40
124.9934,25.117657,13,Yes,23
106.045,16.272613,6,Yes,44
165.989,48.647742,27,Yes,27
149.86,38.045029,22,No,62
76.2,8.50485,1,No,31
161.925,47.286966,60,Yes,43
140.0048,28.3495,15,No,32
66.675,8.1363065,0,No,64
62.865,7.200773,0,Yes,50
163.83,55.394923,43,Yes,36
147.955,32.488527,12,Yes,43
160.02,54.204244,27,Yes,21
154.94,48.477645,30,Yes,34
152.4,43.0628905,29,No,21
62.23,7.257472,0,No,18
146.05,34.189497,23,No,59
151.9936,49.951819,30,No,41
157.48,41.3052215,17,Yes,43
55.88,4.8477645,0,No,53
60.96,6.23689,0,Yes,41
151.765,44.338618,41,No,27
144.78,33.45241,42,No,55
118.11,16.896302,7,No,56
78.105,8.221355,3,No,32
160.655,47.286966,43,Yes,40
151.13,46.1246365,35,No,26
121.92,20.184844,10,No,21
92.71,12.757275,3,Yes,54
153.67,47.400364,75.5,Yes,60
147.32,40.8516295,64,No,59
139.7,50.348712,38,Yes,62
157.48,45.132404,24.2,No,34
91.44,11.623295,4,No,52
154.94,42.240755,26,Yes,61
143.51,41.6454155,19,No,37
83.185,9.1568885,2,Yes,57
158.115,45.2174525,43,Yes,40
147.32,51.255896,38,No,30
123.825,21.205426,10,Yes,19
88.9,11.5949455,3,Yes,56
160.02,49.271431,23,Yes,39
137.16,27.952607,16,No,41
165.1,51.199197,49,Yes,34
154.94,43.8566765,41,No,59
111.125,17.690088,6,Yes,39
153.67,35.5219235,23,No,27
145.415,34.246196,14,No,43
141.605,42.88542,43,No,41
144.78,32.545226,15,No,46
163.83,46.776675,21,Yes,58
161.29,41.8722115,24,Yes,57
154.9,38.2,20,Yes,36
161.3,43.3,20,Yes,30
170.18,53.637254,34,Yes,63
149.86,42.977842,29,No,21
123.825,21.54562,11,Yes,48
85.09,11.4248485,3,No,42
160.655,39.7743485,65,Yes,34
154.94,43.3463855,46,No,55
106.045,15.478827,8,No,31
126.365,21.9141635,15,Yes,19
166.37,52.673371,43,Yes,22
148.2852,38.441922,39,No,65
124.46,19.27766,12,No,36
89.535,11.113004,3,Yes,34
101.6,13.494362,4,No,47
151.765,42.807745,43,No,28
148.59,35.890467,70,No,47
153.67,44.22522,26,No,38
53.975,4.252425,0,No,39
146.685,38.0733785,48,No,52
56.515,5.159609,0,No,18
100.965,14.3164975,5,Yes,41
121.92,23.2182405,8,Yes,41
81.5848,10.659412,3,No,64
154.94,44.111822,44,Yes,21
156.21,44.0267735,33,No,61
132.715,24.9759095,15,Yes,60
125.095,22.5945515,12,No,62
101.6,14.344847,5,No,21
160.655,47.8823055,41,Yes,60
146.05,39.405805,37.4,No,34
132.715,24.777463,13,No,31
87.63,10.659412,6,No,19
156.21,41.050076,53,Yes,31
152.4,40.82328,49,No,39
162.56,47.0318205,27,No,43
114.935,17.519991,7,Yes,51
67.945,7.2291225,1,No,54
142.875,34.246196,31,No,62
76.835,8.0229085,1,Yes,27
145.415,31.127751,17,Yes,52
162.56,52.16308,31,Yes,58
156.21,54.0624965,21,No,55
71.12,8.051258,0,Yes,42
158.75,52.5316235,68,Yes,20
